source,target,weight,bits
A0A6C0D598,A0A6C0E7Y7,0.463,964
A0A6C0D598,A0A6C0CXA7,0.468,948
A0A6C0D598,A0A6C0CK20,0.465,940
A0A6C0D598,A0A6C0BXB1,0.442,880
A0A6C0D598,A0A6C0LKA9,0.441,878
A0A6C0D598,A0A6C0C3J4,0.431,878
A0A6C0D598,A0A6C0CQ84,0.439,872
A0A6C0D598,A0A6C0AXS7,0.416,813
A0A6C0D598,A0A6C0JAK9,0.407,787
A0A6C0D598,A0A6C0H424,0.369,712
A0A6C0D598,A0A6C0D714,0.373,696
A0A6C0D598,A0A6C0KP26,0.373,696
A0A6C0D598,A0A6C0C4N0,0.366,684
A0A6C0D598,A0A6C0AUP9,0.354,646
A0A6C0D598,A0A6C0KWD2,0.387,199
A0A381XCR9,A0A381UR02,0.815,865
A0A381XCR9,A0A381UCT6,0.434,392
A0A381XCR9,A0A382AZ99,0.4,349
A0A381XCR9,A0A381PLY7,0.39,334
A0A381XCR9,A0A644TXX6,0.367,316
A0A381XCR9,A0A381QL30,0.338,273
A0A381XCR9,A0A484HBH2,0.335,273
A0A381XCR9,A0A644WZL8,0.326,273
A0A381XCR9,A0A381T7V2,0.327,254
A0A381XCR9,A0A381QM57,0.321,253
A0A381XCR9,A0A381R409,0.314,246
A0A381XCR9,A0A381MYX2,0.316,243
A0A381XCR9,A0A381SX73,0.316,241
A0A381XCR9,A0A382LBB5,0.305,158
A0A382J197,A0A6J6A3L1,0.742,529
A0A382J197,A0A6J6ASS5,0.739,527
A0A382J197,A0A382CHT4,0.745,525
A0A382J197,A0A6J6CEA8,0.677,469
A0A382J197,A0A2P2C0V8,0.683,467
A0A382J197,A0A6J6B4W8,0.661,456
A0A382J197,A0A2P2CJH2,0.63,429
A0A382J197,A0A6J6E6T3,0.607,417
A0A382J197,A0A382HFT6,0.706,315
A0A382J197,A0A382GIQ4,0.704,314
A0A381RN53,A0A381WW96,0.837,934
A0A381RN53,A0A0W8F8K3,0.387,270
A0A381RN53,A0A098E9E5,0.343,225
A0A382J1X9,A0A380TAR9,0.463,160
A0A382J1X9,A0A382X5I9,0.433,136
A0A382J1X9,A0A644TR86,0.407,135
A0A382J1X9,A0A644WAX3,0.383,131
A0A382J1X9,A0A645B269,0.394,131
A0A382J1X9,A0A645G9J6,0.387,131
A0A382J1X9,A0A644YX24,0.379,128
A0A382J1X9,A0A645BU40,0.38,127
A0A382J1X9,A0A381UKZ5,0.388,125
A0A382J1X9,A0A382JQW3,0.378,123
A0A382J1X9,A0A644XIS9,0.379,121
A0A382J1X9,A0A381TAP7,0.373,121
A0A382J1X9,A0A382BSA6,0.363,120
A0A382J1X9,A0A381XUL9,0.361,119
A0A382J1X9,A0A6J6BED1,0.372,119
A0A382J1X9,A0A381NTP3,0.356,117
A0A382J1X9,A0A6J6F1Z8,0.351,116
A0A382J1X9,A0A382AXX9,0.362,115
A0A382J1X9,A0A094PXK9,0.357,115
A0A382J1X9,A0A381Z5C4,0.353,115
A0A382J1X9,A0A6J6AEE3,0.357,115
A0A382J1X9,A0A382WL77,0.36,114
A0A382J1X9,A0A381PM74,0.357,113
A0A382J1X9,A0A6J5ZBM4,0.354,113
A0A382J1X9,A0A6J6FLY4,0.336,112
A0A382J1X9,A0A381QJF2,0.407,111
A0A382J1X9,A0A382TN05,0.339,111
A0A382J1X9,A0A6J5ZDS3,0.341,109
A0A382J1X9,A0A6J6CM05,0.343,108
A0A382J1X9,A0A6J6ASR3,0.341,107
A0A382J1X9,A0A381ZVK2,0.403,107
A0A382J1X9,A0A2H9TBZ9,0.33,106
A0A382J1X9,A0A381YCQ9,0.335,103
A0A382J1X9,A0A381Q0T0,0.336,102
A0A382J1X9,A0A6J6BMV8,0.319,102
A0A382J1X9,A0A644ZDJ2,0.332,101
A0A382J1X9,A0A381SM42,0.321,99
A0A382J1X9,A0A6J6D5R5,0.319,98
A0A382J1X9,A0A381RUV8,0.308,94
A0A382J1X9,A0A381UMH9,0.304,92
A0A382J1X9,A0A2P2C335,0.304,91
A0A382J1X9,A0A094PRH3,0.302,88
A0A382J1X9,A0A383EVV5,0.311,78
A0A382J1X9,A0A381YI49,0.323,75
A0A644Y6I5,A0A644XUI1,0.464,156
A0A644Y6I5,A0A645HQ66,0.448,119
A0A644Y6I5,A0A098E615,0.354,109
A0A644Y6I5,A0A380TDV5,0.324,96
A0A644Y6I5,A0A645DGI7,0.323,95
A0A644Y6I5,A0A6A7SCJ1,0.314,90
A0A6J6E6T3,A0A2P2C0V8,0.617,707
A0A6J6E6T3,A0A6J6A3L1,0.615,693
A0A6J6E6T3,A0A6J6ASS5,0.606,689
A0A6J6E6T3,A0A2P2CJH2,0.586,674
A0A6J6E6T3,A0A6J6CEA8,0.581,670
A0A6J6E6T3,A0A382CHT4,0.663,667
A0A6J6E6T3,A0A6J6B4W8,0.587,666
A0A6J6E6T3,A0A382J197,0.611,421
A0A6J6E6T3,A0A382GIQ4,0.614,288
A0A6J6E6T3,A0A382HFT6,0.612,287
A0A644Z1I5,A0A644VAA7,0.829,761
A0A644Z1I5,A0A5J4RD69,0.656,585
A0A644Z1I5,A0A5J4RSB5,0.655,584
A0A644Z1I5,A0A644YGI6,0.646,580
A0A644Z1I5,A0A5J4R632,0.665,577
A0A644Z1I5,A0A5J4RLZ5,0.64,569
A0A644Z1I5,A0A5J4RMY9,0.635,563
A0A644Z1I5,A0A5J4S2M0,0.633,561
A0A644Z1I5,A0A5J4RAH0,0.639,558
A0A644Z1I5,A0A5J4SQP5,0.631,558
A0A644Z1I5,A0A5J4ST39,0.63,554
A0A644Z1I5,A0A5J4RGF7,0.619,542
A0A644Z1I5,A0A644TZ87,0.609,537
A0A644Z1I5,J9D059,0.601,526
A0A644Z1I5,A0A644TTV5,0.567,493
A0A644Z1I5,J9G945,0.464,451
A0A644Z1I5,J9GUP8,0.461,448
A0A644Z1I5,J9GKY5,0.459,446
A0A644Z1I5,A0A5J4R5H0,0.654,437
A0A644Z1I5,A0A644WB33,0.493,404
A0A644Z1I5,A0A5J4PYV6,0.596,383
A0A644Z1I5,A0A644X3D0,0.467,382
A0A644Z1I5,D9PEU5,0.466,380
A0A644Z1I5,A0A644YC72,0.456,368
A0A644Z1I5,A0A3B0U7R6,0.45,358
A0A644Z1I5,A0A644V8K5,0.438,339
A0A644Z1I5,A0A5J4Q1M0,0.597,316
A0A644Z1I5,A0A645G851,0.833,315
A0A644Z1I5,A0A5J4PMB9,0.586,291
A0A644Z1I5,A0A644V8Y5,0.361,274
A0A644Z1I5,A0A5J4PVG7,0.655,251
A0A644Z1I5,K1U1E7,0.553,214
A0A644Z1I5,A0A5J4Q1Q4,0.426,178
A0A644Z1I5,K1RQ62,0.432,169
A0A644Z1I5,X1H9X9,0.383,139
A0A644Z1I5,X1SXZ0,0.351,136
A0A644Z1I5,A0A0F9RZA5,0.329,125
A0A644Z1I5,K1V2N0,0.495,124
A0A644Z1I5,D9PIE9,0.365,103
A0A644U9H2,A0A644WU53,0.351,512
A0A644U9H2,A0A0W8FYX4,0.369,382
A0A644U9H2,A0A644UXQ3,0.352,372
A0A644U9H2,A0A644X6C2,0.348,366
A0A644U9H2,A0A644UE91,0.338,355
A0A644U9H2,A0A381X0A0,0.332,342
A0A644U9H2,A0A484SME1,0.32,322
A0A644U9H2,A0A644T1Y2,0.313,314
A0A645HQ66,A0A644XUI1,0.573,161
A0A645HQ66,A0A644Y6I5,0.436,114
A0A645HQ66,A0A098E615,0.376,91
A0A645HQ66,A0A645J6J5,0.363,89
A0A645HQ66,A0A2P2CCC0,0.374,88
A0A645HQ66,A0A644X6R6,0.316,74
A0A645HQ66,A0A381QVC9,0.304,69
A0A6J5ZBM4,A0A6J6ASR3,0.907,390
A0A6J5ZBM4,A0A6J6AEE3,0.834,355
A0A6J5ZBM4,A0A094PXK9,0.742,304
A0A6J5ZBM4,A0A6J6BED1,0.545,200
A0A6J5ZBM4,A0A2P2C335,0.497,180
A0A6J5ZBM4,A0A6J6BMV8,0.483,179
A0A6J5ZBM4,A0A2P2C6S4,0.472,175
A0A6J5ZBM4,A0A6J5ZDS3,0.485,171
A0A6J5ZBM4,A0A6J6FLY4,0.458,169
A0A6J5ZBM4,A0A6J6CM05,0.454,162
A0A6J5ZBM4,A0A382TN05,0.437,156
A0A6J5ZBM4,A0A644TR86,0.433,149
A0A6J5ZBM4,A0A382WL77,0.427,147
A0A6J5ZBM4,A0A381UKZ5,0.422,143
A0A6J5ZBM4,A0A2H9TBZ9,0.418,141
A0A6J5ZBM4,A0A645B269,0.422,141
A0A6J5ZBM4,A0A645G9J6,0.418,141
A0A6J5ZBM4,A0A6J6F1Z8,0.417,141
A0A6J5ZBM4,A0A381NTP3,0.401,139
A0A6J5ZBM4,A0A645BU40,0.415,138
A0A6J5ZBM4,A0A381RUV8,0.396,136
A0A6J5ZBM4,A0A381Q0T0,0.411,136
A0A6J5ZBM4,A0A381YCQ9,0.393,135
A0A6J5ZBM4,A0A644WAX3,0.404,135
A0A6J5ZBM4,A0A382BSA6,0.403,134
A0A6J5ZBM4,A0A382YNP5,0.384,133
A0A6J5ZBM4,A0A644XIS9,0.396,132
A0A6J5ZBM4,A0A382BJP1,0.374,131
A0A6J5ZBM4,A0A381SM42,0.39,130
A0A6J5ZBM4,A0A644ZDJ2,0.38,130
A0A6J5ZBM4,A0A381ZVK2,0.453,129
A0A6J5ZBM4,A0A381PM74,0.379,129
A0A6J5ZBM4,A0A381XUL9,0.378,129
A0A6J5ZBM4,A0A381Z5C4,0.387,127
A0A6J5ZBM4,A0A381TAP7,0.385,127
A0A6J5ZBM4,A0A644YX24,0.38,126
A0A6J5ZBM4,A0A381UMH9,0.366,125
A0A6J5ZBM4,A0A380TAR9,0.384,124
A0A6J5ZBM4,A0A094PRH3,0.379,124
A0A6J5ZBM4,A0A382BC58,0.364,121
A0A6J5ZBM4,A0A382X5I9,0.394,118
A0A6J5ZBM4,A0A484RFP6,0.369,117
A0A6J5ZBM4,A0A382JQW3,0.37,116
A0A6J5ZBM4,A0A382J1X9,0.354,113
A0A6J5ZBM4,A0A382AXX9,0.358,111
A0A6J5ZBM4,A0A381YI49,0.426,104
A0A6J5ZBM4,A0A381QJF2,0.367,99
A0A6J5ZBM4,A0A6J6D5R5,0.331,99
A0A6J5ZBM4,A0A383EVV5,0.361,95
A0A6J5ZBM4,A0A381W471,0.316,93
A0A6C0LKA9,A0A6C0CQ84,0.648,1469
A0A6C0LKA9,A0A6C0BXB1,0.549,1186
A0A6C0LKA9,A0A6C0CK20,0.513,1101
A0A6C0LKA9,A0A6C0CXA7,0.511,1097
A0A6C0LKA9,A0A6C0AXS7,0.548,1086
A0A6C0LKA9,A0A6C0AR55,0.519,1029
A0A6C0LKA9,A0A6C0HQM4,0.523,1023
A0A6C0LKA9,A0A6C0I8D9,0.519,1014
A0A6C0LKA9,A0A6C0ESH1,0.519,1013
A0A6C0LKA9,A0A6C0EFD9,0.506,1010
A0A6C0LKA9,A0A6C0D834,0.516,1009
A0A6C0LKA9,A0A6C0LDL2,0.517,1007
A0A6C0LKA9,A0A6C0F7I1,0.513,1005
A0A6C0LKA9,A0A6C0DLZ7,0.511,1004
A0A6C0LKA9,A0A6C0BC56,0.515,1002
A0A6C0LKA9,A0A6C0B248,0.504,1001
A0A6C0LKA9,A0A6C0E7Y7,0.498,981
A0A6C0LKA9,A0A6C0DRP4,0.477,963
A0A6C0LKA9,A0A6C0LR39,0.478,961
A0A6C0LKA9,A0A6C0F3T9,0.493,954
A0A6C0LKA9,A0A6C0KI02,0.472,949
A0A6C0LKA9,A0A6C0B3Y6,0.46,945
A0A6C0LKA9,A0A6C0E9T3,0.488,938
A0A6C0LKA9,A0A6C0ETN6,0.438,936
A0A6C0LKA9,A0A6C0DLX9,0.482,935
A0A6C0LKA9,A0A6C0ASE4,0.463,928
A0A6C0LKA9,A0A6C0B911,0.475,907
A0A6C0LKA9,A0A6C0D598,0.451,902
A0A6C0LKA9,A0A6C0H329,0.468,887
A0A6C0LKA9,A0A6C0C4N0,0.456,855
A0A6C0LKA9,A0A6C0JJL0,0.408,848
A0A6C0LKA9,A0A6C0JAK9,0.427,839
A0A6C0LKA9,A0A6C0C3J4,0.402,809
A0A6C0LKA9,A0A6C0H424,0.394,784
A0A6C0LKA9,A0A6C0D714,0.417,773
A0A6C0LKA9,A0A6C0KP26,0.407,764
A0A6C0LKA9,A0A6C0AUP9,0.394,705
A0A6C0LKA9,A0A6C0KWD2,0.376,192
J9G945,J9GKY5,0.851,966
J9G945,J9GUP8,0.834,947
J9G945,J9D059,0.544,549
J9G945,A0A644VAA7,0.466,461
J9G945,A0A644YGI6,0.46,457
J9G945,A0A5J4RSB5,0.458,454
J9G945,A0A644Z1I5,0.465,454
J9G945,A0A5J4RD69,0.458,453
J9G945,A0A5J4RLZ5,0.447,441
J9G945,A0A5J4SQP5,0.448,441
J9G945,A0A5J4RMY9,0.448,439
J9G945,A0A5J4R632,0.461,438
J9G945,A0A644TTV5,0.443,434
J9G945,A0A5J4S2M0,0.445,433
J9G945,A0A5J4ST39,0.439,431
J9G945,A0A5J4RAH0,0.437,419
J9G945,A0A5J4RGF7,0.427,415
J9G945,A0A644TZ87,0.424,409
J9G945,D9PEU5,0.385,360
J9G945,A0A644WB33,0.382,357
J9G945,A0A644X3D0,0.377,350
J9G945,A0A3B0U7R6,0.366,335
J9G945,A0A5J4R5H0,0.444,329
J9G945,A0A644YC72,0.36,323
J9G945,A0A5J4PYV6,0.409,294
J9G945,A0A644V8K5,0.334,281
J9G945,A0A5J4Q1M0,0.482,265
J9G945,A0A644V8Y5,0.306,256
J9G945,A0A5J4PMB9,0.466,241
J9G945,A0A645G851,0.519,193
J9G945,K1U1E7,0.475,186
J9G945,A0A5J4PVG7,0.508,182
J9G945,X1SXZ0,0.359,155
J9G945,K1RQ62,0.34,153
J9G945,A0A5J4Q1Q4,0.357,153
J9G945,X1H9X9,0.408,139
J9G945,K1V2N0,0.463,108
J9G945,D9PIE9,0.302,87
A0A6J7EJK4,A0A6J6A063,0.706,642
A0A6J7EJK4,A0A6J7CTX4,0.682,601
A0A6J7EJK4,A0A6J7LL73,0.637,542
A0A6J7EJK4,A0A6J7FCU3,0.541,473
A0A6J7EJK4,A0A3B0RLP0,0.468,362
A0A0F9JGS9,T1BLP3,0.542,149
A0A0F9JGS9,X0Z276,0.507,147
A0A0F9JGS9,A0A644T609,0.485,142
A0A0F9JGS9,A0A6J6GDA8,0.484,121
A0A0F9JGS9,A0A382EH67,0.384,93
A0A0F9JGS9,A0A2H9TC77,0.371,91
A0A0F9JGS9,A0A644WK33,0.376,86
A0A0F9JGS9,A0A645AKM6,0.376,83
A0A0F9JGS9,A0A381Q3L6,0.33,83
A0A0F9JGS9,A0A381UC56,0.354,81
A0A0F9JGS9,W1Y3N0,0.367,78
K1V2N0,J9D059,0.536,129
K1V2N0,A0A5J4RSB5,0.524,126
K1V2N0,A0A5J4R632,0.517,124
K1V2N0,A0A644VAA7,0.49,123
K1V2N0,A0A5J4RLZ5,0.508,121
K1V2N0,A0A644Z1I5,0.48,120
K1V2N0,A0A644WB33,0.504,120
K1V2N0,A0A5J4S2M0,0.502,119
K1V2N0,A0A5J4RD69,0.502,119
K1V2N0,A0A5J4RMY9,0.497,118
K1V2N0,A0A5J4R5H0,0.496,117
K1V2N0,K1U1E7,0.502,117
K1V2N0,A0A5J4SQP5,0.493,117
K1V2N0,A0A644YGI6,0.493,117
K1V2N0,A0A5J4RAH0,0.484,114
K1V2N0,A0A5J4ST39,0.484,114
K1V2N0,A0A5J4Q1M0,0.481,113
K1V2N0,A0A5J4PYV6,0.481,113
K1V2N0,A0A5J4RGF7,0.48,113
K1V2N0,J9GUP8,0.474,112
K1V2N0,A0A644YC72,0.472,110
K1V2N0,A0A5J4PMB9,0.475,109
K1V2N0,J9GKY5,0.463,108
K1V2N0,J9G945,0.462,108
K1V2N0,A0A644V8K5,0.461,107
K1V2N0,A0A644TTV5,0.461,107
K1V2N0,A0A644TZ87,0.454,105
K1V2N0,A0A644X3D0,0.385,103
K1V2N0,D9PEU5,0.364,95
K1V2N0,A0A3B0U7R6,0.415,94
K1V2N0,A0A644V8Y5,0.377,85
K1V2N0,A0A5J4Q1Q4,0.358,63
K1V2N0,X1SXZ0,0.329,55
K1V2N0,D9PMD4,0.348,38
K1V2N0,A0A0F9RZA5,0.399,36
A0A6P2D7U5,A0A6P2DLR7,0.374,167
A0A6P2D7U5,A0A6P2D906,0.309,130
A0A6P2D7U5,A0A6P2CY33,0.303,125
A0A644TZ87,A0A644TTV5,0.698,654
A0A644TZ87,A0A644YGI6,0.613,557
A0A644TZ87,A0A644Z1I5,0.611,539
A0A644TZ87,A0A644VAA7,0.58,520
A0A644TZ87,A0A5J4RSB5,0.578,509
A0A644TZ87,A0A5J4RD69,0.576,506
A0A644TZ87,A0A5J4R632,0.581,492
A0A644TZ87,A0A5J4RLZ5,0.558,490
A0A644TZ87,A0A5J4S2M0,0.553,483
A0A644TZ87,A0A5J4RMY9,0.554,482
A0A644TZ87,A0A5J4SQP5,0.552,480
A0A644TZ87,A0A5J4ST39,0.55,478
A0A644TZ87,A0A5J4RGF7,0.549,477
A0A644TZ87,A0A5J4RAH0,0.548,471
A0A644TZ87,J9D059,0.514,432
A0A644TZ87,J9G945,0.427,414
A0A644TZ87,J9GUP8,0.427,408
A0A644TZ87,J9GKY5,0.426,408
A0A644TZ87,A0A644WB33,0.476,405
A0A644TZ87,D9PEU5,0.476,400
A0A644TZ87,A0A644X3D0,0.474,395
A0A644TZ87,A0A3B0U7R6,0.46,380
A0A644TZ87,A0A5J4R5H0,0.578,378
A0A644TZ87,A0A644YC72,0.44,367
A0A644TZ87,A0A5J4PYV6,0.558,360
A0A644TZ87,A0A644V8K5,0.439,346
A0A644TZ87,A0A644V8Y5,0.386,309
A0A644TZ87,A0A5J4Q1M0,0.554,294
A0A644TZ87,A0A5J4PMB9,0.55,275
A0A644TZ87,A0A645G851,0.618,228
A0A644TZ87,A0A5J4PVG7,0.555,211
A0A644TZ87,K1U1E7,0.521,199
A0A644TZ87,K1RQ62,0.457,180
A0A644TZ87,A0A5J4Q1Q4,0.412,174
A0A644TZ87,X1SXZ0,0.345,135
A0A644TZ87,X1H9X9,0.362,128
A0A644TZ87,A0A0F9RZA5,0.344,127
A0A644TZ87,K1V2N0,0.47,110
A0A644TZ87,D9PIE9,0.338,108
A0A6C0D834,A0A6C0HQM4,0.687,1577
A0A6C0D834,A0A6C0B248,0.616,1436
A0A6C0D834,A0A6C0LDL2,0.614,1264
A0A6C0D834,A0A6C0BC56,0.605,1262
A0A6C0D834,A0A6C0AR55,0.585,1219
A0A6C0D834,A0A6C0ESH1,0.598,1207
A0A6C0D834,A0A6C0I8D9,0.586,1192
A0A6C0D834,A0A6C0F7I1,0.582,1169
A0A6C0D834,A0A6C0ASE4,0.548,1153
A0A6C0D834,A0A6C0DLZ7,0.57,1152
A0A6C0D834,A0A6C0E9T3,0.565,1146
A0A6C0D834,A0A6C0EFD9,0.531,1143
A0A6C0D834,A0A6C0B3Y6,0.556,1129
A0A6C0D834,A0A6C0E7Y7,0.532,1128
A0A6C0D834,A0A6C0DLX9,0.55,1125
A0A6C0D834,A0A6C0B911,0.563,1121
A0A6C0D834,A0A6C0LR39,0.53,1109
A0A6C0D834,A0A6C0KI02,0.534,1105
A0A6C0D834,A0A6C0ETN6,0.488,1085
A0A6C0D834,A0A6C0DRP4,0.519,1082
A0A6C0D834,A0A6C0F3T9,0.535,1077
A0A6C0D834,A0A6C0H329,0.544,1071
A0A6C0D834,A0A6C0D598,0.51,1063
A0A6C0D834,A0A6C0CXA7,0.53,1062
A0A6C0D834,A0A6C0CK20,0.521,1056
A0A6C0D834,A0A6C0JJL0,0.471,1042
A0A6C0D834,A0A6C0AXS7,0.525,1024
A0A6C0D834,A0A6C0CQ84,0.525,1022
A0A6C0D834,A0A6C0LKA9,0.506,1010
A0A6C0D834,A0A6C0BXB1,0.505,994
A0A6C0D834,A0A6C0C3J4,0.434,899
A0A6C0D834,A0A6C0JAK9,0.429,847
A0A6C0D834,A0A6C0C4N0,0.446,842
A0A6C0D834,A0A6C0H424,0.397,790
A0A6C0D834,A0A6C0D714,0.42,781
A0A6C0D834,A0A6C0KP26,0.412,776
A0A6C0D834,A0A6C0AUP9,0.412,743
A0A6C0D834,A0A6C0KWD2,0.375,205
A0A5J4RSB5,A0A5J4RD69,0.894,863
A0A5J4RSB5,A0A5J4R632,0.911,835
A0A5J4RSB5,A0A5J4SQP5,0.841,803
A0A5J4RSB5,A0A5J4RLZ5,0.839,801
A0A5J4RSB5,A0A5J4RMY9,0.842,798
A0A5J4RSB5,A0A5J4S2M0,0.839,789
A0A5J4RSB5,A0A5J4ST39,0.781,738
A0A5J4RSB5,A0A5J4RGF7,0.769,723
A0A5J4RSB5,A0A5J4RAH0,0.78,721
A0A5J4RSB5,A0A5J4R5H0,0.871,613
A0A5J4RSB5,A0A644VAA7,0.652,586
A0A5J4RSB5,A0A644Z1I5,0.655,584
A0A5J4RSB5,A0A644YGI6,0.63,573
A0A5J4RSB5,A0A5J4PYV6,0.753,537
A0A5J4RSB5,J9D059,0.591,517
A0A5J4RSB5,A0A644TZ87,0.575,505
A0A5J4RSB5,A0A644TTV5,0.563,496
A0A5J4RSB5,J9G945,0.458,454
A0A5J4RSB5,J9GUP8,0.457,454
A0A5J4RSB5,J9GKY5,0.46,452
A0A5J4RSB5,A0A5J4Q1M0,0.76,442
A0A5J4RSB5,A0A5J4PMB9,0.753,413
A0A5J4RSB5,D9PEU5,0.462,387
A0A5J4RSB5,A0A644WB33,0.464,387
A0A5J4RSB5,A0A644X3D0,0.449,374
A0A5J4RSB5,A0A3B0U7R6,0.444,367
A0A5J4RSB5,A0A644YC72,0.437,354
A0A5J4RSB5,A0A644V8K5,0.422,324
A0A5J4RSB5,A0A5J4PVG7,0.799,316
A0A5J4RSB5,A0A644V8Y5,0.364,284
A0A5J4RSB5,A0A645G851,0.692,257
A0A5J4RSB5,K1U1E7,0.61,241
A0A5J4RSB5,K1RQ62,0.446,182
A0A5J4RSB5,A0A5J4Q1Q4,0.395,169
A0A5J4RSB5,X1SXZ0,0.372,155
A0A5J4RSB5,X1H9X9,0.389,141
A0A5J4RSB5,K1V2N0,0.529,127
